Drug Group	Drug List 
ARB	"Irbesartan/Hydchloroth, CoAprovel, Olmesartan Medoxomil/Amlodipine, Sevikar, Olmesartan Medox/Amlodipine/Hydchloroth, Sevikar HCT, Azilsartan Medoxomil, Edarbi, Sacubitril/Valsartan, Entresto, Olmesartan Medoxomil, Olmetec, Candesartan Cilexetil, Amias, Atacand, Ratacand, Irbesartan, Aprovel, Karvea, Sabervel, Ifirmasta, Losartan Pot, Cozaar, Losaprex, Losartam Pot/Hydchloroth, Cozaar-Comp, Hyzaar, Telmisartan, Micardis, Tolura, Telmisartan/Hydchloroth, MicardisPlus, Actelsar, Tolucombi, Valsartan, Diovan, Eprosartan, Tevetn, Valsartan/HydchlorothCo-Diovan, Olmesartan Medoxomil/Hydchloroth, Olmetec Plus"
ACEi	"Perindopril Tosilate, Perindopril Tosilate/Indapamide, Perindopril Erbumine + Amlodipine, Moexipril HCL, Perdix, Cilazapril, Vascace, Captopril, Acepril, Capoten, Ecopace, Tensopril, Kaplon, Hyteneze, Captomex, Noyada, Co-Zidocapt, Acezide, Capozide, Capto-Co, Enalapril/Hydchloroth, Innozide, Enalapril Mal, Innovace, Renitec, Enapren, Pralenal, Ednyt, Fosinopril Sod, Staril, Fositens, Fozitec, Lisinopril/Hydchloroth, Zestoretic, Carace Plus, Caralpha, Lisicostad, Lisinopril, Zestril, Carace, Acemin, Lisopress, Perindopril Erbumine, Coversyl, Perindopril Erbumine/Indapamide, Coversyl Plus, Quinapril HCL/Hydchloroth, Accuretic, Quinapril HCL, Accupro, Quinil, Ramipril, Tritace, Lopace, Ranace, Felodipine/Ramipril, Triapin, Trandolapril, Gopten, Odrik, Trandolapril/Verapamil HCL, Tarka, Imidapril HCL, Tanatril, Benazepril HCL, Cibacen, Perindopril Arginine, Coversyl Arginine, Perindopril Arginine/Indapamide, Coversyl Arganine Plus"
Other RAS drugs	"Aliskiren, rasilez"
Thiazides	"Bendroflumethiazide, Aprinox, Berkozide, Centyl, Neo-Naclex, Urizide, Neo-Bendromax, Chloroth, Saluric, Diuril, Chlotride, Chlortalidone, Hygroton, Cyclopenth, Navidrex, Hydchloroth, Esidrex, Hydrosaluric, Apo-Hyrdo, Hydroflumet, Hydrenox, Diucardin, Indapamide, Natrilix, Indaxa 2.5, Natramid, Opumide, Ethibide XL, Tensais XL, Varbim XL, Indipam XL, Mapemid, Rawel XL, Cardide SR, Alkapamid XL (HBS Healthcare Ltd), Alkapamid X (Rivopharm (UK) Ltd), Mefruside, Baycaron, Methylclothiazide, Enduron, Metolazone, Metenic, Xuret, Mykrox, Zaroxolyn, Xipamide, Diurexan"
Diuretics	"Amiloride HCL, Midamor, Berkamil, Amilispare, Amoride, Amilamont, Pot Canrenoate, Spiroctan-M, Soldactone, Spironol, Aldactone, Diatensec, Laractone, Spiretic, Spiroctan, Spirolone, Gx Spironol Abbolactone, Spirospare, Triamterene, Dytac, Eperenone, Inspra, Amiloride HCL/Cyclopenth, Navispare, Co-Amilofruse, Frumil (Systemic), Lasoride, Fru-Co, Frusemek, Aridil, Froop Co, Komil, Co-Amilozide, Amil-Co, Hypertane 50, Moduretic, Normetic, Synuretic, Amilmaxco, Vasetic, Moduret 25, Delvas, Zida-Co, Amizide, Amiloride HCL + Loop Diuretic, Burinex-A, Co=Flumactone, Aldactide, Spiro-Co, Triamterene/Hydchloroth, Dyazide, Triam-Co, Triamaxco 50/25, Chloroth/Spironol, Spirool/Fureosemide, Frusens, Triamterene + Thiazides, Kalspare, Dytide, Bendroflumeth/Pot, Centyl-K, Neo-Naclex-K, Bumetanide/Pot, Burinek-K, Bumetanide/Amiloride HCL, Chlortalidone/Pot, Hygroton-K, Clopamide/Pot, Brinaldix-K, Cyclopenth/Pot, Navidrex-K, Cyclopenth/Amiloride HCL, Furosemide/Pot, Lasikal, Diumide-K Continus, Lasix + K, Hydchloroth/Pot, Esidrex-K, Hydrosaluric-K, spironolactone"
Beta-blockers	"Pindolol/Clopamide, Viskaldix, Sotalol HCL/Hydchloroth, Sotazide, Tolerzide, Timolol + Diuretic, Moducren, Prestim, Co-Tenidone, Tenoret, Tenoretic, Atenix Co, Techlor, Totaretic, Tertatolol, Artex, Celiprolol HCL, Celectol, Esmolol HCL, Brevibloc, Carvedilol, Eucardic, Gppe Tab, Monozide 10, Atenolol/Bendrofulmethiazide, Tenben, Penbutolol Sulf, Betapressin, Nebovolol, Nebilet, Hypoloc, Bisprolol Fumarate/Aspirin, Secadrex, Acebut HCl, Sectral, Practolol, Eraldin, Atenolol, Tenormin, Atenix, Antipressan, Vasaten, Totamol, Kentol, Atenamin, Gppe Cap, Kalten, Betaxolol HCl, Kerlone, Bisprolol Fumar, Monocor, Emcor, Isoten Mitis, Soprol, Cardicor, Bipranix, Concor, Soloc, Vivacor, Congescor, Labetalol HCl, Labrocol, Trandate, Metoprolol Fumar, Metoros, Metoprolol Tart, Betaloc, Lopressor, Mepranix, Arbralene, Toprol, Beloc Cor, Tensomex, Propanolol HCl + Diuretic, Inderetic, Inderex, Spiroprop, Propanolol HCl, Angilol, Apsolol, Bedranol, Berkolol, Inderal, Sloprolol, Lederpronol, Cardinol, Slo-Blok, Propanix, Beta-Prograne, Betadur, Avlocardyl, Probeta, Lopranol, Propatard, Slo-Pro, Syprol, Dupromex, Rapranol, Beprane, Atenolol/Nifedipine, Beta-Adalat, Tenif, Gppe Tab, Co-Betaloc, Lopresoretic"
Vasodilator antihypertensive drugs	"Diazoxide (Parent), Eudemine (Parent), Hydralazine HCl, Apresoline, Apo-Hydralazine, Minoxidil (Systemic), Loniten, Sod Nitroprusside"
Centrally acting antihypertensive	"Clonidine HCl (Vasodilator), Catapres, Methyldopa, Aldomet (Oral), Dopamet, Medomet, Lederdopa, Co-Caps Methyldopa, Metalpha, Methyldopa/Hydchloroth, Hydromet, Methyldopate HCl, Aldomet (Parent), Moxonide, Physiotens, Fisiotens, Normatens"
Alpha-Adrenoceptor Blocking Drugs	"Doxazosin Mesil (Hypertension), Cardura (Hypertension), Cascor (Hypertension), Doxadura (Hypertension), Slocinx, Colixil, Cardozin, Oxandosin, Doxzogen, Larbex, Raporsin, Indoramin (Hypertension), Baratol, Vadilex, Phenoxybenx HCl, Dibenyline, Phentolam Mesil, Rogitine, Prazosin HCl, Hypovase, Minipress, Kentovace, Alphavase, Teazosin HCl (Antihypertensive), Hytrin, Benph, Metirosine, Demser"
Calcium-Channel Blockers	"Amlodipine, Istin, Norvas, Norvasc, Astudal, Amlostin, Trimetazidine HCl, Vastarel, Diltiazem HCl, Tildiem, Calcicard, Britiazim, Angiozem, Adizem, Kentiazem, Dilaem, Slozem, Angitil, Calazem, Cardizem, Zemtar, Viazem, Dilcardia, Optil, Bi-Carzem, Zildil, Retalzem, Horizem, Zemret, Disogram, Tiamex, Kenzem, Uard, Diltiazem HCl/Hydchloroth, Adize-XL Plus, Felodipne, Plendil, Preslow, Cabren, Felotens, Felogen, Folpik XL, Keloc, Vacalpha, Parmid (Felodipine), Cardioplen, Neofel, Pinefeld, Isradipine, Presal, Lacidipine, Motens, Molap, Lercanidipine HCl, Zanidip, Nimodipine, Nimotop, Lidoflazine, Clinium, Nitrendipine, Baypress, Nicardipine HCl, Cardene, Nifedipine, Adalat, Adalat A.R, Vasad, Calcilat, Coracten, Angiopine, Adalate LP, Nifensar Xl, Kentipine, Cardilate, Nife-Wolff, Nifelease, Calanif, Hypolar, Adipine, Unipine, Nifedipin, Nimondrel, Slofedipine, Tensipine, Fortipine, Nifedotard, Genalat, Nifedipress, Nivaten, Coroday, Nifopress, Valni, Calchan, Neozipine, Adanif, Nidef, Prenlamine Lact, Synadrin, Verapamil HCl, Berkatens, Cordilox, Securon, Univer, Geangin, Verapress, Ethimil, Vertab, Zolvera, Ranvera, Vera-Til, Manidon, Perhexiline Mal, Pexid, Pexsig, Nisoldipine, Syscor, Sular, Mibefradil, Poisicor, Bufloedil HCl, Bufedil, Fonzylane, Valsartan/Amlodipine, Exforge"
